bedroom_count,net_sqm,center_distance,metro_distance,floor,age,price
1,26.18409786440993,1286.68,204.0038172983832,22,67,96004.80455671565
1,34.86690091132422,1855.25,186.9803604183612,8,30,92473.72256806161
1,36.980708990751,692.09,111.22499920528696,24,24,98112.5199416717
1,17.445723141767346,1399.49,237.9987599600729,1,66,92118.32687438914
1,52.58764598114736,84.65,100.99639950749835,20,3,98976.65317568765
1,42.462605603009294,367.91,-15.751993993820555,15,85,95724.56751195318
1,22.42558366057072,1901.1,218.60342087627947,6,23,91491.71410688048
1,31.646895502861323,93.88,0.8813395851151054,10,87,93740.24744039553
1,33.033900080192495,1833.94,159.8936574103221,21,0,93381.40943538066
1,27.883480297324738,1384.89,145.1700250969186,14,12,93503.28460021503
1,1.7831575412534644,1296.94,123.92677855804388,16,77,89214.56668824947
1,69.76510032461343,640.89,130.39377534814875,12,18,98708.32354823046
1,37.79624700934454,1754.86,195.98928625734968,23,80,90417.77739342529
1,25.972248887505547,980.75,94.35125082464144,5,53,90826.72262457845
1,15.8240293703829,220.44,42.032761637271285,23,9,96201.26133417065
1,55.78965931585402,398.23,52.52441636871334,5,73,92331.74129780196
1,18.117146727205075,948.58,160.0761536578803,17,83,95406.64328151668
1,12.953612974274549,970.14,77.05468681170994,14,18,92388.24022799497
1,24.89051934537398,512.25,61.75588508254506,3,71,91176.86558217049
1,46.63392338629548,1390.39,82.43031303491377,18,41,92008.38617301692
1,3.792964471051212,1307.69,-9.957390791703943,3,57,86465.09295907686
1,39.02332910983367,1392.06,157.966329772018,7,62,93067.11075084051
1,45.29741932620586,1991.02,222.41360994297528,7,35,90377.29847303673
1,40.5689846353777,1999.52,142.8485489796779,21,31,93390.72322236333
1,47.306429617253,1452.09,244.17583119938035,1,54,91745.71269658522
1,28.354293744702368,1123.37,28.385016270061755,7,51,91118.25200844795
1,33.635286288077005,1146.35,105.4594258650723,11,82,91642.50275234925
1,55.55520827020132,661.01,50.13170749870832,20,65,94111.59723222617
1,17.640223433395327,1703.53,229.9566607179229,8,31,91784.44117198867
1,34.42418621911935,836.6,148.76193849501425,13,34,93281.3869340205
1,26.852371611205708,110.1,17.656371284845815,21,25,99134.76254566014
1,16.905755441634255,242.86,40.76552598010868,22,60,96919.52437698783
1,54.44852992803085,1835.76,120.82911261849436,1,26,88051.51092686906
1,32.07543846896682,1300.11,17.970076588803636,9,62,89539.040845918
1,38.63497643819561,1992.27,161.90869253369237,10,20,89185.12772960926
1,36.07427806176688,325.13,37.07914845519901,17,12,96514.31063241
1,45.03262177168381,821.4,135.44053403638603,20,0,98028.86044684757
1,10.989544879020086,207.55,78.79849243922057,2,85,95157.32326202642
1,51.174872216096105,730.03,46.33635912960238,20,81,94831.82138258521
1,15.640120457902512,1479.34,118.0254624712332,20,45,93512.21160154592
1,51.959961809152766,1426.65,75.97085174664538,14,43,90188.07452486397
1,43.05657094170286,59.86,-65.61349685894876,13,52,96795.7748695116
1,31.20640957813348,1725.46,69.97789046874938,2,6,89399.44753528992
1,37.55036191153535,1141.37,200.26206976158943,1,65,94072.05953460303
1,24.182682338843968,1897.85,145.3238909124173,1,89,88488.23653910944
1,64.48834922646138,317.52,6.673084919440679,16,68,97784.60521113302
1,11.224959126271056,872.71,15.904131997503685,4,45,90623.26291215274
1,38.88293554077042,70.03,45.1772177915955,15,20,98211.38964123675
1,59.325250976482046,453.97,-39.83759237789757,8,69,92557.3513371424
1,44.00304302766422,791.05,60.557485989301554,24,3,95728.25048326049
1,77.61982633868416,1498.58,90.0988719403162,7,61,92986.53512505454
1,31.609129644390062,1507.25,154.9976248929631,3,66,90738.41512658441
1,40.26318442277382,253.87,-2.6919568784436514,11,17,97020.01759005222
1,52.79642060870256,1097.86,39.77579079387938,11,42,91038.94895287161
1,29.55405657880599,61.9,4.161888583067256,12,33,95844.56359993201
1,33.12160742448023,1935.93,195.6502935265209,23,47,93170.54148556682
1,29.50732514935721,1307.15,120.9693611191584,2,2,92580.69071157149
